identifier,usPort,foreignPort,vessel,estimateArrival,actualArrival,pieces,contents
2015042437581,"Los Angeles,California","Kwangyang,South Korea",HYUNDAI LONG BEACH,1951-04-23,2015-04-23,3000,WINTER MUSHROOMS
201501315393,"New York,New York","Pusan,South Korea",HYUNDAI GRACE,1995-01-22,2015-01-30,16,BRAKE ROTOR
2015042447905,"Port Everglades,Florida","Kingstown,St. Vincent & Northern Grenadines",MICHAEL J,1999-12-30,2015-04-22,917,STC FLOUR AND RICE 272 BAGS FLOUR 665 BALES FLOUR 80 BALES RICE
2015032137640,"Port Everglades,Florida","Cartagena ,Colombia",HOHERIFF,1999-12-30,2015-03-19,613,"PLASTIC LID AND PLASTIC CUPS NCM: 39.23.30.99.00  39.23.50.90.00 NET WEIGHT: 6,283.89 KG SHIPPING AUTORITATION INVOICE NO 1739305 // MDPT150315 EMITIR BL EN DESTINO Y UNA COPIA NO NEGOCIABLE EN BOGOTA""BASC CERTIFICATE"" EXPRESS RELEASE  MARCAS MERCASID S.A"
20150310191876,"Port Everglades,Florida","Port of Spain,Trinidad",SPYROS,1999-12-30,2015-03-05,6000,GALLONS LIQUIFIED PETROELUM GAS
2015032137641,"Port Everglades,Florida","Cartagena ,Colombia",HOHERIFF,1999-12-30,2015-03-19,18,"1X40' Q.D.C. 16 PALLETS C/U CON 60 BOLSAS DE 25 KGS C/U Y 2 PALLETS C/U CON 40 BOLSAS DE 25 KG C/U. REF. HOMOPOLIMERO 40H92PN. 26000 KGS CODIGO BASC COLCTG0004312 ORDEN: PT1946 P.A. 39.02.10 SAE. 6027580075242 FLETE PREPAGADO AGENCIA DE ADUANAS GAMAS.A.NIVEL 1 DO. F31101669 PEDIDO.50053029 (KGD) TEXTILES TITAN,S.A."
2015042447906,"Port Everglades,Florida","Bridgetown,Barbados",MICHAEL J,1999-12-30,2015-04-22,1,EMPTY CONTAINER
2015031799571,"Port Everglades,Florida","Grand Cayman,Cayman Islands",CARIBE MARINER,1999-12-30,2015-03-16,131,USED PERS & H.H. EFFECTS
2015032137642,"Port Everglades,Florida","Cartagena ,Colombia",HOHERIFF,1999-12-30,2015-03-19,607,"PLASTIC CUPS AND T. FOIL NCM: 39.23.30.99.00  83.09.90.00.00 NET WEIGHT: 6,048.16 KG SHIPPING AUTORITATION INVOICE NO 1739421 // MDPT150318 EMITIR BL EN DESTINO Y UNA COPIA NO NEGOCIABLE EN BOGOTA""BASC CERTIFICATE"" EXPRESS RELEASE  MARCAS MERCASID S.A"
201503111090,"Los Angeles,California","Tsingtao,China (Mainland)",EVER LUCKY,2001-02-03,2015-02-16,783,P.O.NO. 2161719 100 COTTON WOVEN BEACH TOWEL
2015012132729,"Long Beach,California","Pusan,South Korea",HANJIN TABUL,2005-01-16,2015-01-19,3,MOULD PARTS
2015020310924,"Tampa,Florida","Port Bustamante,Jamaica",MSC ALABAMA,2005-01-30,2015-01-30,83,MUSICAL INSTRUMENTS GUITARS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS. .
2015022732025,"Long Beach,California","Kaohsiung,China (Taiwan)",OOCL CANADA,2005-02-11,2015-02-26,651,STAINLESS STEEL BOLTS STAINLESS STEEL NUTS
2015022730135,"Long Beach,California","Yantian,China (Mainland)",WAN HAI 603,2012-02-11,2015-02-26,1400,LADIES KNITTED TOP LADIES KNITTED DRESS MANS WOVEN PANTS INFANTS 100 PCT COTTON SET KNITTED T SHIRT AND WOVEN DENIM JEANS
201504212,"Long Beach,California","Taipei,China (Taiwan)",PUSAN,2012-09-18,2014-10-04,334,HARDWARE
201504213,"Long Beach,California","Yantian,China (Mainland)",PUSAN,2012-09-19,2014-10-04,1275,BABYCAKES PANCAKE MAKER
201502032,"Seattle,Washington","Shanghai ,China (Mainland)",PUSAN,2012-10-04,2013-09-28,197,"SANDBLAST CABINET ,SPARE PARTS"
201501141,"Los Angeles,California","Rotterdam,Netherlands",MOL ENDURANCE,2013-03-08,2015-01-13,10,PV - INVERTER
201504216,"Long Beach,California","Tsingtao,China (Mainland)",PUSAN,2013-03-15,2014-10-04,40,TITANIUM DIOXIDE
2015042241150,"Tacoma,Washington","Yantian,China (Mainland)",SEATTLE BRIDGE,2013-04-19,2015-04-21,67,AUTO DOCUMENT FEEDER
2015050132869,"New York,New York","Genova,Italy",AL RAWDAH,2013-04-29,2015-04-30,1,INDUCTION FURNACE AND PARTS NEW COOLING AIR EXHAUSTER
2015050137092,"New York,New York","FOS Sur Mer,France",AL RAWDAH,2013-04-29,2015-04-30,22,EMPTY GLASS BOTTLES
201504217,"Long Beach,California","Yantian,China (Mainland)",PUSAN,2013-05-01,2014-10-04,1905,OVEN/COOKER/KETTLE/ELECTRIC THERMO POT
201504218,"Long Beach,California","Xiamen,China (Mainland)",PUSAN,2013-05-08,2014-10-04,1536,POLY FIGURINES
201504219,"Long Beach,California","Ningpo ,China (Mainland)",PUSAN,2013-06-16,2014-10-04,1450,TOASTER
201502033,"Seattle,Washington","Shanghai ,China (Mainland)",PUSAN,2013-06-27,2013-09-28,1584,"CROSSBOW,COMPOUND BOW KITS"
20150424312,"Los Angeles,California","Singapore,Singapore",APL NORWAY,2013-07-16,2014-07-18,64,"MENS 60 PCT COTTON 40 PCT POLYESTER WOVEN SHIRT,LADIES 60 PCT COTTON 40 PCT POLYESTER WOVEN BLOUSE"
201501241,"San Juan,Puerto Rico","Rio Jaina,Dominican Republic",CONTI ELEKTRA,2013-08-02,2013-08-02,1,02X45HC WITH- PLASTIC SCRAP
2015042111,"Long Beach,California","Hong Kong,Hong Kong",PUSAN,2013-08-07,2014-10-04,587,MICROWAVE OVEN
201502122,"Long Beach,California","Kaohsiung,China (Taiwan)",OOCL MEMPHIS,2013-08-19,2013-08-19,5,"IN ONE (1) PALLET 5 BOXES CONTAINING 16,800 PCS. OF RUBBER SEAL AS PER INVOICE NO. TP01-280 ---------------------------------- CARGO COVERED ON THIS BILL OF LADING IS CO-LOADED WITH THE CARGOOF JAPAN CONTAINER LINES INC (JCLI) -----------------------------------"
201501242,"Los Angeles,California","Hong Kong,Hong Kong",MOL MARVEL,2013-09-09,2013-09-09,640,"640  CTN WETSUIT SCAC  OBEP HBL   HPHOB1308570 TLI  2475-40-3000-0044 OF +AMS   COLLECT SHIPPED ON BOARDAUG. 22,2013"
201501243,"Los Angeles,California","Vung Tau,Vietnam",MOL MOTIVATOR,2013-09-16,2013-09-17,229,"229  CTN WETSUITS AMS S HBL  EFV019569SE SCAC CODE  SYSA TLI  2475-40-3000-0045 SHIPPED ON BOARD AUG. 29,2013"
201501091,"Port Everglades,Florida","Sines,Portugal",MSC CAROLINA,2013-09-16,2013-09-13,42,TOTAL 42 VOLUMS 20 VOLUMES WITH AUTORADIOS 1738.94 KGS GW 12 CBM INVOICE 78400901 HS CODE 85272120 .13PT00016420599087 . 04 VOLUMES WITH AUTORADIOS 412 KGS GW 12 CBM INVOICE 78400601 HS CODE 85272120 .13PT00016420599087 . 07 VOLUMES WITH AUTORADIOS 736.309 KGS GW 12 CBM INVOICE 78400904601 HS CODE 85272120 .13PT00016420599087 . 03 VOLUMES WITH AUTORADIOS 265.929 KGS GW 12 CBM INVOICE 78400904903 HS CODE 85272120 .13PT00016420599408 . 08 VOLUMES WITH AUTORADIOS 695.576 KGS GW 12 CBM INVOICE 78400904902 HS CODE 85272120 .13PT00016420599408 . HS-CODE 85272120
2015012318,"Los Angeles,California","Hong Kong,Hong Kong",MOL MOTIVATOR,2013-09-16,2013-09-17,933,"933  CTN WETSUIT SCAC CODE   OBEP HBL    HPHOB1308662 TLI  2475-40-3000-0044 SHIPPED ON BOARD AUG. 29,2013"
201501221,"Charleston,South Carolina","Rotterdam,Netherlands",APL MELBOURNE,2013-09-18,2013-09-18,67,ENGINE PARTS
201502149,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,9,UNIT ASSY
201502101,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021221,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,13,DIAMOND CUTTING WHEEL
201502141,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021018,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,64,GR UNIVERSAL WHITE PAINT 51G MENS
201503133,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015021219,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,64,GR UNIVERSAL WHITE PAINT 51G MENS
201502103,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015021226,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,50,PRINTED CIRCUIT BOARD
201503102,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015021121,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201502121,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021123,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,117,LINK S/S RASHGUARD
201502124,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015021125,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,50,PRINTED CIRCUIT BOARD
201502111,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015021421,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201503031,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015030320,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,13,DIAMOND CUTTING WHEEL
201502102,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
201502105,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,9900,HEATER CORE AND EVAPORATOR CORE
201502064,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,4,2545 NON-CHILD BODY JEWELRY
201502143,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,8,2805 NON-CHILD -EARRINGS
201503033,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,2,0292 NON-CHILD -EARRINGS
201502123,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015030321,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,1,0292 NON-CHILD -EARRINGS
201502062,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015031335,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,13,RUGS CAPET
201502113,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,465,GLASS LAMP FURNITURE WOODEN ARTICLES
201503135,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,14170,HEATER CORE AND EVAPORATOR CORE
201502112,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
2015021119,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,184,CUTTING SAW BLADE
201503131,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
2015030313,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,857,PUMP FUEL MODULE
201503032,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,310,HANDICRAFTS OF BRASS
201502127,"Los Angeles,California","Laem Chabang,Thailand",NYK THESEUS,2013-09-19,2013-09-21,17842,FRONT HOUSING
201503101,"Los Angeles,California","Singapore,Singapore",NYK THESEUS,2013-09-19,2013-09-21,1409,100% POLYSTER FLEECE PROMO THROW
